SetID,Time of Application,State,Monthly Net Income,Paycheck Net Income,Rent or Own,Months at Residence,Bank Account Months,Pay Cycle,Loan Amount,Loan Funded Date,Loan Due Date,First Payment Default,First Payment Default1,Time_Diff
722,2018-03-20T10:32:36Z,CA,1.00E+04,5.00E+03,R,109,49,BiMonthly,294.12,3/20/2018,3/30/2018,FALSE,0,10
368,2018-03-31T10:00:35Z,TX,2500,1250,R,12,60,BiWeekly,641.78,3/31/2018,4/13/2018,FALSE,0,13
246,2018-04-03T17:59:24Z,CA,1.00E+03,1.00E+03,R,60,6,Monthly,117.65,4/3/2018,5/1/2018,FALSE,0,28
118,2018-04-06T18:11:59Z,CA,2030,1015,R,36,36,BiWeekly,300,4/6/2018,4/27/2018,FALSE,0,21
62,2018-04-09T02:51:40Z,CA,2240,1120,R,42,36,BiMonthly,300,4/9/2018,4/20/2018,FALSE,0,11
710,2018-03-20T14:38:20Z,TX,6500,6500,R,36,30,Monthly,644.24,3/20/2018,4/20/2018,TRUE,1,31
1123,2018-03-05T12:38:05Z,TX,1.30E+04,6500,R,108,18,BiWeekly,385.47,3/5/2018,3/23/2018,TRUE,1,18
1807,2018-02-08T14:55:00Z,CA,8466,4233,R,23,36,BiWeekly,300,2/8/2018,2/16/2018,FALSE,0,8
59,2018-04-09T08:28:05Z,TX,5.00E+03,5.00E+03,R,60,60,Monthly,644.24,4/9/2018,5/10/2018,FALSE,0,31
446,2018-03-28T13:13:03Z,CA,5.00E+03,5.00E+03,R,12,6,Monthly,117.65,3/28/2018,4/10/2018,FALSE,0,13
1306,2018-02-26T23:17:34Z,CA,1788,894,R,156,36,BiWeekly,300,2/27/2018,3/14/2018,FALSE,0,15
1055,2018-03-07T17:17:39Z,TX,1.20E+04,6.00E+03,R,60,36,BiMonthly,641.23,3/7/2018,3/16/2018,FALSE,0,9
790,2018-03-18T12:42:49Z,TX,8666,4333,R,24,6,BiWeekly,641.64,3/18/2018,3/30/2018,FALSE,0,12
680,2018-03-21T15:13:50Z,TX,2.00E+03,2.00E+03,O,108,6,Monthly,386.3,3/21/2018,4/18/2018,FALSE,0,28
1764,2018-02-12T04:57:00Z,CA,1.00E+03,1.00E+03,R,47,3,Monthly,300,2/12/2018,3/2/2018,TRUE,1,18
1516,2018-02-19T14:29:11Z,TX,1.00E+04,5.00E+03,O,96,6,BiWeekly,642.46,2/19/2018,3/9/2018,TRUE,1,18
125,2018-04-06T14:26:45Z,CA,1692,423,R,112,15,Weekly,300,4/6/2018,4/20/2018,FALSE,0,14
764,2018-03-19T12:13:32Z,CA,2500,2500,R,87,36,Monthly,300,3/19/2018,3/30/2018,FALSE,0,11
1205,2018-03-01T16:08:30Z,CA,897,897,R,84,36,Monthly,264.71,3/1/2018,3/28/2018,FALSE,0,27
1201,2018-03-01T17:08:46Z,CA,3168,1584,R,3,6,BiMonthly,300,3/1/2018,3/15/2018,FALSE,0,14
357,2018-03-31T15:34:23Z,CA,2500,2500,O,12,6,Monthly,117.65,4/11/2018,5/1/2018,FALSE,0,20
1170,2018-03-02T20:53:31Z,CA,1600,400,R,18,36,Weekly,300,3/5/2018,3/16/2018,TRUE,1,11
1836,2018-02-06T13:19:00Z,CA,1800,900,R,114,36,BiMonthly,205.88,2/6/2018,2/26/2018,FALSE,0,20
1938,2018-02-01T20:56:00Z,CA,1960,980,O,194,36,BiWeekly,300,2/2/2018,2/14/2018,FALSE,0,12
725,2018-03-20T08:20:23Z,TX,2500,2500,R,60,36,Monthly,641.91,3/20/2018,4/3/2018,FALSE,0,14
1090,2018-03-06T10:13:55Z,CA,6600,3300,O,97,36,BiMonthly,205.88,3/6/2018,3/20/2018,FALSE,0,14
148,2018-04-05T19:52:36Z,CA,2500,1250,R,36,6,BiWeekly,117.65,4/6/2018,4/13/2018,FALSE,0,7
1366,2018-02-24T15:34:55Z,CA,890,890,R,39,30,Monthly,264.71,2/27/2018,3/29/2018,FALSE,0,30
1036,2018-03-08T13:46:37Z,CA,3.00E+03,3.00E+03,R,12,36,Monthly,117.65,3/8/2018,3/30/2018,FALSE,0,22
1513,2018-02-19T15:07:59Z,CA,5.00E+03,2500,R,60,6,BiWeekly,117.65,2/22/2018,3/2/2018,FALSE,0,8
1615,2018-02-14T15:41:00Z,CA,1286,643,R,108,36,BiMonthly,300,2/14/2018,3/2/2018,FALSE,0,16
1813,2018-02-08T13:33:00Z,CA,1.30E+04,6500,R,12,9,BiWeekly,235.3,2/8/2018,2/23/2018,FALSE,0,15
1598,2018-02-14T19:19:00Z,CA,1431,1431,O,111,36,Monthly,300,2/14/2018,3/16/2018,FALSE,0,30
1477,2018-02-20T15:45:41Z,CA,3200,3200,R,53,36,Monthly,300,2/20/2018,3/9/2018,TRUE,1,17
1628,2018-02-14T13:42:00Z,CA,2500,2500,R,12,6,Monthly,117.65,2/14/2018,3/2/2018,FALSE,0,16
409,2018-03-29T13:47:51Z,TX,2.00E+03,1.00E+03,R,36,60,BiWeekly,320.54,4/12/2018,4/20/2018,FALSE,0,8
682,2018-03-21T15:00:38Z,CA,2660,1330,R,14,36,BiWeekly,300,3/21/2018,4/9/2018,TRUE,1,19
1856,2018-02-05T20:44:00Z,CA,1430,715,O,294,36,BiWeekly,300,2/6/2018,2/16/2018,TRUE,1,10
1490,2018-02-20T12:49:24Z,CA,3.00E+03,3.00E+03,R,12,12,Monthly,117.65,2/20/2018,3/5/2018,FALSE,0,13
613,2018-03-23T14:02:59Z,CA,3.00E+03,3.00E+03,R,48,6,Monthly,117.65,3/23/2018,4/23/2018,TRUE,1,31
880,2018-03-14T15:12:24Z,CA,4500,4500,R,72,72,Monthly,294.12,3/14/2018,3/30/2018,FALSE,0,16
384,2018-03-30T13:01:26Z,CA,1080,540,R,70,36,BiWeekly,300,3/30/2018,4/20/2018,FALSE,0,21
9,2018-04-09T18:43:18Z,CA,2500,1250,R,12,12,BiMonthly,235.3,4/9/2018,4/23/2018,FALSE,0,14
741,2018-03-19T18:08:07Z,TX,1.00E+04,5.00E+03,R,12,30,BiWeekly,641.5,3/19/2018,3/30/2018,FALSE,0,11
1246,2018-02-28T13:46:12Z,TX,1.00E+04,5.00E+03,R,12,6,BiWeekly,642.6,3/2/2018,3/21/2018,FALSE,0,19
1608,2018-02-14T17:23:00Z,CA,1500,1500,O,96,6,Monthly,300,2/14/2018,3/4/2018,TRUE,1,18
1528,2018-02-17T14:43:36Z,CA,2.00E+03,500,R,86,12,Weekly,300,2/20/2018,3/2/2018,FALSE,0,10
1865,2018-02-05T17:30:00Z,CA,4500,4500,R,72,24,Monthly,235.3,2/5/2018,2/21/2018,FALSE,0,16
1117,2018-03-05T13:24:35Z,CA,2699,2699,O,120,36,Monthly,300,3/5/2018,3/30/2018,FALSE,0,25
972,2018-03-10T23:45:01Z,CA,2500,2500,R,48,6,Monthly,117.65,3/11/2018,4/6/2018,TRUE,1,26
1082,2018-03-06T14:56:10Z,CA,1620,810,R,251,36,BiWeekly,300,3/6/2018,3/16/2018,FALSE,0,10
903,2018-03-13T19:57:12Z,CA,5.00E+03,5.00E+03,R,24,24,Monthly,235.3,3/14/2018,4/4/2018,FALSE,0,21
822,2018-03-16T12:59:19Z,TX,1.00E+04,5.00E+03,R,36,36,BiWeekly,640.95,3/16/2018,3/23/2018,FALSE,0,7
1033,2018-03-08T14:12:47Z,CA,2590,1295,R,138,30,BiWeekly,300,3/8/2018,3/16/2018,TRUE,1,8
1978,2018-01-31T18:59:00Z,TX,3625,3625,R,60,60,Monthly,643.83,2/1/2018,2/28/2018,TRUE,1,27
1316,2018-02-26T17:20:57Z,TX,1.20E+04,6.00E+03,R,60,60,BiWeekly,641.5,2/26/2018,3/9/2018,TRUE,1,11
26,2018-04-09T15:21:36Z,CA,4.00E+03,2.00E+03,R,60,12,BiMonthly,235.3,4/9/2018,4/30/2018,TRUE,1,21
1815,2018-02-08T13:15:00Z,CA,3500,3500,R,108,6,Monthly,117.65,2/8/2018,2/28/2018,FALSE,0,20
282,2018-04-02T21:21:12Z,CA,1239,1239,R,52,15,Monthly,300,4/3/2018,5/3/2018,FALSE,0,30
1404,2018-02-22T18:13:50Z,CA,5.00E+03,5.00E+03,R,108,18,Monthly,235.3,2/23/2018,3/14/2018,FALSE,0,19
1023,2018-03-08T17:25:25Z,CA,4858,2429,R,42,36,BiWeekly,300,3/8/2018,3/23/2018,TRUE,1,15
1696,2018-02-12T19:53:00Z,CA,1578,789,R,60,36,BiWeekly,300,2/12/2018,2/23/2018,FALSE,0,11
1973,2018-01-31T20:51:00Z,CA,2192,548,R,24,36,Weekly,300,2/1/2018,2/14/2018,FALSE,0,13
1970,2018-02-01T02:53:00Z,CA,4500,2250,R,27,30,BiWeekly,300,2/1/2018,2/9/2018,FALSE,0,8
772,2018-03-19T11:10:58Z,CA,4400,2200,R,27,80,BiWeekly,235.3,3/19/2018,4/5/2018,FALSE,0,17
1545,2018-02-15T20:03:11Z,CA,800,200,R,8,36,Weekly,264.71,2/16/2018,2/23/2018,FALSE,0,7
1535,2018-02-16T18:18:02Z,CA,1780,890,R,72,36,BiWeekly,300,2/16/2018,3/9/2018,FALSE,0,21
1621,2018-02-14T14:32:00Z,CA,1431,1431,O,33,36,Monthly,300,2/14/2018,3/14/2018,FALSE,0,28
1294,2018-02-27T11:49:39Z,TX,1.00E+04,5.00E+03,R,65,7,BiWeekly,256.76,2/27/2018,3/13/2018,FALSE,0,14
106,2018-04-07T10:00:18Z,TX,5250,2625,R,24,6,BiMonthly,642.46,4/7/2018,4/25/2018,FALSE,0,18
1324,2018-02-26T15:55:49Z,CA,1500,1500,O,0,6,Monthly,117.65,2/28/2018,3/29/2018,TRUE,1,29
224,2018-04-04T10:47:00Z,CA,1836,918,R,136,36,BiWeekly,300,4/4/2018,4/17/2018,FALSE,0,13
1669,2018-02-13T13:54:00Z,TX,9.00E+03,4500,R,24,24,BiMonthly,642.05,2/15/2018,2/28/2018,FALSE,0,13
164,2018-04-05T15:49:50Z,CA,5500,2750,R,24,24,BiMonthly,235.3,4/5/2018,4/23/2018,FALSE,0,18
157,2018-04-05T17:07:21Z,CA,5.00E+03,2500,R,24,12,BiWeekly,235.3,4/5/2018,4/20/2018,TRUE,1,15
1460,2018-02-21T09:31:07Z,TX,7.00E+03,7.00E+03,R,24,24,Monthly,642.19,2/21/2018,3/9/2018,TRUE,1,16
479,2018-03-27T17:36:10Z,CA,5.00E+03,5.00E+03,R,36,30,Monthly,117.65,3/27/2018,4/27/2018,FALSE,0,31
181,2018-04-05T11:23:30Z,CA,3314,1657,O,362,36,BiWeekly,300,4/5/2018,4/20/2018,TRUE,1,15
1510,2018-02-19T16:09:30Z,CA,3.00E+03,1500,O,108,6,BiWeekly,117.65,2/19/2018,3/2/2018,FALSE,0,11
39,2018-04-09T12:43:38Z,CA,4500,2250,R,48,12,BiWeekly,235.3,4/11/2018,4/27/2018,FALSE,0,16
1504,2018-02-19T19:00:26Z,CA,1611,1611,R,44,36,Monthly,300,2/21/2018,3/2/2018,FALSE,0,9
1834,2018-02-06T17:10:00Z,TX,1280,640,R,36,3,BiWeekly,256.53,2/6/2018,2/16/2018,TRUE,1,10
763,2018-03-19T12:15:16Z,CA,5.00E+03,5.00E+03,R,12,12,BiMonthly,235.3,3/19/2018,4/2/2018,FALSE,0,14
131,2018-04-06T12:38:20Z,CA,3792,1896,R,24,12,BiWeekly,117.65,4/6/2018,4/27/2018,TRUE,1,21
674,2018-03-21T19:22:30Z,CA,3.00E+03,1500,R,36,6,BiWeekly,117.65,3/21/2018,4/6/2018,TRUE,1,16
180,2018-04-05T11:24:02Z,TX,3250,1625,R,24,24,BiWeekly,642.05,4/5/2018,4/20/2018,TRUE,1,15
1208,2018-03-01T15:31:05Z,TX,6.00E+03,6.00E+03,O,184,36,Monthly,643.83,3/1/2018,3/29/2018,TRUE,1,28
1127,2018-03-05T11:44:12Z,TX,1.20E+04,6.00E+03,R,60,36,BiMonthly,641.5,3/5/2018,3/16/2018,TRUE,1,11
1599,2018-02-14T19:18:00Z,CA,3600,1800,R,13,36,BiWeekly,300,2/14/2018,2/22/2018,FALSE,0,8
1763,2018-02-12T07:18:00Z,CA,4124,4124,R,35,30,Monthly,300,2/15/2018,2/28/2018,FALSE,0,13
1068,2018-03-07T04:39:00Z,CA,3.00E+03,1500,R,12,6,BiWeekly,117.65,3/7/2018,3/16/2018,TRUE,1,9
1406,2018-02-22T17:57:31Z,CA,2.00E+03,2.00E+03,R,36,36,Monthly,235.3,2/22/2018,3/25/2018,TRUE,1,31
1996,2018-01-31T15:07:00Z,CA,3600,1800,R,66,36,BiWeekly,300,1/31/2018,2/16/2018,FALSE,0,16
507,2018-03-27T09:56:52Z,TX,3.00E+03,1500,R,60,30,BiWeekly,385.39,3/27/2018,4/13/2018,FALSE,0,17
311,2018-04-02T13:22:58Z,CA,3746,1873,O,244,36,BiMonthly,300,4/2/2018,4/16/2018,FALSE,0,14
911,2018-03-13T18:02:13Z,CA,7250,3625,R,60,12,BiWeekly,117.65,3/13/2018,3/28/2018,FALSE,0,15
1419,2018-02-22T13:25:35Z,CA,5.00E+03,5.00E+03,R,48,48,Monthly,235.3,2/22/2018,3/25/2018,TRUE,1,31
184,2018-04-05T11:07:02Z,TX,2486,2486,R,60,12,Monthly,386.05,4/5/2018,4/30/2018,FALSE,0,25
402,2018-03-29T16:24:00Z,CA,1280,320,R,38,15,Weekly,264.71,3/29/2018,4/6/2018,FALSE,0,8
481,2018-03-27T17:29:07Z,TX,3500,3500,R,12,6,Monthly,644.24,3/27/2018,4/27/2018,FALSE,0,31
767,2018-03-19T11:58:11Z,CA,3200,1600,R,51,30,BiWeekly,300,3/22/2018,4/6/2018,FALSE,0,15
1663,2018-02-13T14:27:00Z,CA,3332,3332,O,281,36,Monthly,235.3,2/13/2018,2/26/2018,FALSE,0,13
1577,2018-02-15T13:38:52Z,CA,2.00E+03,2.00E+03,R,12,12,Monthly,235.3,2/20/2018,3/1/2018,FALSE,0,9
943,2018-03-12T16:52:37Z,CA,6292,1573,O,21,30,Weekly,300,3/12/2018,3/23/2018,FALSE,0,11
